Thread Count,Write Percent,Throughput
2,0.0,2867501
2,0.02,3436907
2,0.05,2769308
2,0.1,3293499
2,0.2,3112537
2,0.3,2832747
2,0.4,2319139
4,0.0,3173509
4,0.02,1790538
4,0.05,2316743
4,0.1,2783142
4,0.2,2972980
4,0.3,2588940
4,0.4,2324372
8,0.0,1902284
8,0.02,1704797
8,0.05,1863805
8,0.1,2265392
8,0.2,2947919
8,0.3,2760462
8,0.4,2116950
16,0.0,2149350
16,0.02,1956919
16,0.05,2250536
16,0.1,2317071
16,0.2,2955898
16,0.3,2578966
16,0.4,2239420
20,0.0,1977276
20,0.02,2044653
20,0.05,2321092
20,0.1,1963596
20,0.2,2993862
20,0.3,2605221
20,0.4,2230122
30,0.0,1867923
30,0.02,1804020
30,0.05,2296190
30,0.1,2499947
30,0.2,3061611
30,0.3,2639212
30,0.4,2278695
40,0.0,1846943
40,0.02,1862622
40,0.05,1913004
40,0.1,2526218
40,0.2,3100961
40,0.3,2621648
40,0.4,2301108
